Sentence,ProteinName,UniProtId,PhenotypeName,HPOId,type,Label
"PROT suppresses insulin secretion through both central actions and direct effects on pancreatic beta cells.19, 20 Leptin opposes insulin resistance, in part, through activation of AMP-activated protein kinase, which results in a reduction in lipid deposition in insulin-sensitive tissues.21 A lack of effective leptin signaling thus promotes the development of insulin resistance and results in severe PHENO at an early age.",Leptin,P41159,obesity,HP:0001513,ft,Good-CoM
"Furthermore, EGCG can bind with high affinity to many other target proteins in cancer cells, such as 70 kDa zeta-associated protein (Zap-70) [41], 67-kDa laminin receptor [42], phosphoinositide 3 kinase (PI3K) [31], Ras-GTPase activating protein (PROT), SH3 domain-binding protein 1 (G3BP1) [43], insulin-like growth factor 1 receptor (IGF-1R) [44], vimentin [45], Bcl-2 and Bcl-xL [46], GRP78 [47], and Fyn [48], resulting in the inhibition of breast PHENO.",GAP,P20936,cancer,HP:0002664,ft,Good-CoM
"RE was able to combat the enhanced prostate specific antigen (PROT) levels measured in cell culture media, indicative of prostate PHENO, inhibiting levels to less than a fifth of what was seen in the control group.",PSA,Q9Y617,cancer,HP:0002664,ft,Good-CoM
"However, as previously shown in several studies, constitutive activation of Akt/PROT is capable of inducing PHENO [27-29], although we did not observe this effect in our study.",PKB,P31749,skeletal muscle hypertrophy,HP:0003712,ft,Good-CoM
"In addition, this region contains CBFA2T3, which is known to be involved in a translocation with RUNX1 (PROT) in a subset of therapy related PHENO (Ottone et al., 2009) and was identified as a putative breast tumor suppressor gene (Kochetkova et al., 2002).",AML1,Q01196,acute myeloid leukemia,HP:0004808,ft,Bad-CoM
"Therefore, we hypothesized that cytokinesis would be rescued if we restored the expression and activity of PROT in oral PHENO cells.",MLCK,Q15746,cancer,HP:0002664,ft,Bad-CoM
"PROT small molecule inhibitors have recently been developed as potential PHENO therapeutic drugs (Yamaguchi et al., 2006; Belova et al., 2005; Rayter et al., 2008), so it is possible such drugs might alleviate some A-T patient symptoms.",WIP1,O15297,cancer,HP:0002664,ft,Good-CoM
"Additionally, treatment of LN444/PDGF-A/shDyn2 cells with AG1296, an inhibitor for PDGFR has no effect on PDGF-A-stimulated cell proliferation (Figure 2B) and survival (Figure 2C) and migration (not shown), suggesting that Dyn2 is not at upstream of PROT in PHENO cells.",PDGFR,P09619,glioma,HP:0009733,ft,Good-CoM
"Interestingly, it was recently reported that mTOR could phosphorylate HSF-1 on S326 in HeLa cells under proteotoxic stress.29 However, it is worth noting that we did not observe detectable activation of mTOR in the context of PROT activation in the breast PHENO cells we examined.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
These observations provide further support for the idea that phospho-activation of WASF3 is regulated by NRG-mediated PROT signaling in HER2-positive breast PHENO cells.,HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"DNA-PKcs, PROT; BRCA1, breast PHENO 1.",DNA-dependent protein kinase catalytic subunit,P78527,cancer,HP:0002664,ft,Bad-CoM
"Prostate-specific antigen (PROT) tumor marker levels were >500 ng/ml (reference value, 0 35 ng/ml), however, other PHENO markers, including  -fetoprotein (AFP), carcinoembryonic antigen (CEA), carbohydrate antigen (CA)19-9, CA12-5 and neuron-specific enolase (NSE) remained within the normal ranges.",PSA,Q9Y617,tumor,HP:0002664,ft,Good-CoM
Lauritzen et al demonstrated that extracellular PHENO prevented the neuronal death of cultured rat granule neurons by reducing K+ efflux through the PROT-3 channels (27).,TASK,O14649,acidosis,HP:0001941,ft,Good-CoM
"Immunohistochemical analysis of the PHENO cells revealed positivity for vimentin, S-100, PROT/AE3, B-cell lymphoma-2, cluster of differentiation (CD)99 and leukocyte common antigen, and negativity for desmin, epithelial membrane antigen (EMA) and CD34.",AE1,P02730,tumor,HP:0002664,ft,Good-CoM
"PHENO cells are positive for PROT (hematoxylin and eosin; magnification,  400).",CD20,P11836,Lymphoma,HP:0002665,ft,Good-CoM
"In conclusion, MLT nuclear receptor RZR/ROR  may be of great importance in the PROT mediated anti-angiogenesis and growth-inhibitory effect in PHENO cells.",MLT,Q9UDY8,gastric cancer,HP:0012126,ft,Good-CoM
"The involvement of NCOA2 in PHENO was first reported in acute myeloid leukemia with the cytogenetic inversion inv(8)(p11q13) which resulted in a KAT6A-NCOA2, also known as PROT-TIF2 fusion gene (12,13).",MOZ,Q92794,neoplasia,HP:0002664,ft,Good-CoM
"Partly, this is due to the favorable natural history of low-grade prostate PHENO, but also to diagnostic imperfections in PROT and prostate biopsies.",PSA,Q9Y617,cancer,HP:0002664,ft,Bad-CoM
Here we showed that let-7a overexpression induced HMOX1 and repressed PROT also in PHENO and melanoma cell lines.,BACH1,Q9BX63,breast cancer,HP:0003002,ft,Good-CoM
The ratio of PROT/FIR exon2 mRNA level of leukemia cells was significantly higher than those of non-PHENO or control samples (Student's t-test).,FIR,Q9UHX1,leukemia,HP:0001909,ft,Good-CoM
"Tumors histologically close to NB, such as Ewing tumors, PHENO, or lymphoma were excluded, as their specific markers (CD99, Tyr, and Ptprc (PROT), respectively) were not detected (Figure 3C).",CD45,P08575,melanoma,HP:0002861,ft,Good-CoM
These results together indicate that PROT may confer PHENO sensitivity to combined therapies of TKIs with TAM by decreasing tyrosine phosphorylation of both EGFR and ER.,PTPH1,P26045,breast cancer,HP:0003002,ft,Bad-CoM
The immunohistochemical profile of the PHENO (CK7 and PROT positive) suggested a primary origin from the lung.,TTF1,P43699,tumor,HP:0002664,ft,Good-CoM
"For example, whereas VP-16 provokes ATR activation [49], camptothecin activates either ATM or PROT in DNA damage events in different PHENO cell lines [50].",ATR,Q9H6X2,cancer,HP:0002664,ft,Good-CoM
These data show that G0S2 encodes a tumour suppressor protein that links regulation of lipid catabolism to cell transformation and suggests that PROT may be a novel target to limit growth of PHENO cells.,ATGL,Q96AD5,tumour,HP:0002664,ft,Good-CoM
"Interestingly, except for the phenomenon that PROT plays different roles in different PHENO types, both oncogenic and tumor suppressor functions are also reported in the same kind of cancer.",DDX3,O00571,cancer,HP:0002664,ft,Bad-CoM
We further show that PROT mediates the effects of TGF-  on PlGF and that hypoxia may super-induce the PlGF system in the context of PHENO.,ALK5,P36897,glioblastoma,HP:0100843,ft,Good-CoM
"Overexpression of TOPK in prostate PHENO is associated with Gleason score   8 (P = 0.0016), PROT > 20 ng/ml (P = 0.02), and stage > T2c (p = 0.035).",PSA,Q9Y617,cancer,HP:0002664,ft,Good-CoM
"[51] determined that WIF1 could suppress PHENO growth via G1 arrest in bladder cancer by the down-regulation of SKP2 and c-myc, as well as the up-regulation of p21/PROT and p27/Kip1.",WAF1,P38936,tumor,HP:0002664,ft,Good-CoM
"Our findings suggest that HER3 is strongly overexpressed in pancreatic PHENO tissues in relation to HER2, further signifying the role of PROT in pancreatic cancer.",HER3,P21860,cancer,HP:0002664,ft,Good-CoM
"Studies have shown that PROT is remarkably increased in diabetic patients and even more so in patients with cardiovascular disease, like coronary artery disease or PHENO [68, 69].",OPG,O00300,abdominal aortic aneurysm,HP:0004953,ft,Good-CoM
NFAT1 also functions as a critical factor in Akt/protein kinase B (PROT) and Glycogen synthase kinase 3  (GSK3 ) signaling pathways to regulate the PHENO metastasis [36].,PKB,P31749,breast cancer,HP:0003002,ft,Good-CoM
"Garicinol, a polyisoprenylated benzophenone derivative, derived from dried rind of the fruit Garcinia indica can potentiate TRAIL-induced apoptotic cell death of human colon PHENO cell through up-regulation of DR4 and PROT [16].",DR5,O14763,cancer,HP:0002664,ft,Good-CoM
"We speculate that cross-talk among mgp96, ER- 36 and PROT forms a positive feedback loop in breast cancer, which may affect PHENO growth, metastasis, and drug resistance, but this relationship remains to be examined.",HER2,P04626,tumor,HP:0002664,ft,Good-CoM
"In addition, ubiquitin ligase CHIP is involved in degradation of mut p53, and the functional inactivation of PROT is a cause of aberrant stabilization of mut p53 in PHENO [20].",CHIP,Q9UNE7,cancer,HP:0002664,ft,Good-CoM
"Cav-1 in pancreatic ductal adenocarcinoma is positively associated with PHENO size, grade and stage and Cav-1 expression is correlated to Ki67, PROT in tumor tissues and serum CA 19-9 serum [48].",P53,P04637,tumor,HP:0002664,ft,Bad-CoM
"Therefore, the PROT-SHP2-MAPK and miR-489 signaling pathways form a double negative feedback loop which regulates breast PHENO cell proliferation both in vitro and in vivo.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
The number of lung PHENO nodule in mice injected with PROT-overexpressing T84 stable clone was markedly higher than in mice injected with VC cells.,DDX3,O00571,tumor,HP:0002664,ft,Bad-CoM
PROT overexpression has been observed in PHENO (GC) cells and implicated in the metastatic phenotype.,HER2,P04626,gastric cancer,HP:0012126,ft,Good-CoM
The PROT  173G/C polymorphism may be associated with increased PHENO risk.,MIF,P03971,cancer,HP:0002664,ft,Good-CoM
PHENO and obstructive nephropathy are common early manifestations in patients with partial PROT deficiency.,HPRT,P00492,Nephrolithiasis,HP:0000787,ft,Good-CoM
"PROT, located on chromosome 18q21.32, is linked to about 2% of inherited PHENO/microphthalmia [21].",RAX,O75569,anophthalmia,HP:0000528,ft,Good-CoM
"For example a molecular genetic testing for SCA1, PROT, SCA 4, SCA8, SCA18 and SCA25 should be considered for an individual with cerebellar ataxia and PHENO.",SCA3,P54252,peripheral neuropathy,HP:0009830,ft,Bad-CoM
"Activation of the adrenergic pathway in mice placed on a high-NaCl diet causes PHENO, increased expression of PROT, in addition to a reduced renal WNK4 content.",NCC,P55017,hypertension,HP:0000822,ft,Good-CoM
"For example, in an ER -positive PHENO cell line, genistein inhibited human epidermal growth factor 2 (HER2) overexpression and PROT phosphorylation activity, likely through inhibition of its tyrosine kinase activity at concentrations >1  M (Sakla et al., 2007; Russo et al., 2016).",HER2,P04626,breast cancer,HP:0003002,ft,Bad-CoM
"In the study by Bose et al, seven activating PROT mutations were found in about 2% of HER2 nonamplified breast PHENO patients.50 Interestingly, HER2 mutant cells were demonstrated to be sensitive to neratinib but not to lapatinib, paving the way to Phase II clinical trials for the administration of neratinib in HER2 nonamplified mutant patients.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"In PHENO cells, PROT is an essential player in paclitaxel-induced apoptosis; importantly, simultaneous inhibition of NHE1 results in synergistic potentiation of low-dose paclitaxel pro-apoptosis effects [66].",NHE1,P19634,breast cancer,HP:0003002,ft,Good-CoM
"The protective effect of RANKL blockade by recombinant OPG on PHENO bone metastasis reported by Jones and collaborators was the first to suggest that PROT, by enhancing the migration of B16F10 melanoma cancer cells, was implicated in promoting metastatic bone colonization and establishment.",RANKL,O14788,melanoma,HP:0002861,ft,Good-CoM
Together our results suggest that combining Dox treatment with PROT inhibition compromises the ROS-buffering capacity of basal-like breast PHENO cells and sensitizes them to chemotherapy-induced cell death.,PERK,Q9NZJ5,cancer,HP:0002664,ft,Good-CoM
"However, several germinal mutations associated with complex familial syndromes have been shown to significantly increase the risk of developing PHENO (BRCA2, INK4A, STK11/PROT, PRSS1, hMLH1 and hMSH2) [1],[6].",LKB1,Q15831,pancreatic cancer,HP:0002894,ft,Good-CoM
"Genetic and molecular analysis of these disorders have revealed that the repeat expansion can result in either a loss of function of the gene (Fragile-X syndrome and Friedreich's PHENO) or a gain of function of the encoded protein (SCA1, SCA2, PROT, SCA6, SCA7, SCA17, Huntington's disease, DRPLA, and oculopharyngeal muscular dystrophy) [7], [8].",SCA3,P54252,ataxia,HP:0001251,ft,Bad-CoM
"In PHENO cells, the TEP1 homologue PTEN controls autophagy by downregulating the PI3KclassI/PROT pathway [61].",PKB,P31749,cancer,HP:0002664,ft,Good-CoM
This work provides a new genetic model of PHENO in Drosophila and establishes PROT as a critical downstream target in the Sir2 signaling pathway.,HNF4,P41235,insulin resistance,HP:0000855,ft,Bad-CoM
"For example, mutations in RPGRIP1L (PROT/MKS5) can cause an NPHP phenotype, but also Meckel-Gr ber syndrome (MKS), a pre- or perinatal lethal condition due to neural tube closure and heart defects, or Joubert syndrome (JBTS) that has cystic kidneys, mental retardation, cerebellar hypoplasia, PHENO, and developmental abnormalities [5, 6].",NPHP8,Q68CZ1,ataxia,HP:0001251,ft,Good-CoM
"Indeed, increased PROT expression has been described in multiple cancers, including colon [24], esophagus [25], pancreas [26], breast [27], lung [28], brain [29], bladder [30], renal [31], and PHENO [18], [32].",SPARC,P09486,melanoma,HP:0002861,ft,Good-CoM
"Given that REST (PROT) is involved in suppression of genes that are required for differentiation of embryonic and adult stem cells [24], the age-induced hypermethylation of REST-targets, if confirmed in a stem-cell population, may represent a generic mechanism for age-associated loss of stem-cell function and increased predisposition to PHENO [5].",NRSF,Q13127,cancer,HP:0002664,ft,Good-CoM
"Since myosin light chain kinase (PROT) regulates cell behavior, it is regarded as a promising target in terms of preventing PHENO invasion and metastasis.",MLCK,Q15746,tumor,HP:0002664,ft,Good-CoM
"Finally, some genes were expressed with similar profiles following activation by either PROT or PAR2, these mainly being associated with tumorigenesis and PHENO progression, implicating a possible sharing of proliferative mechanisms between these two receptors on cell surfaces.",PAR1,Q9HAB3,cancer,HP:0002664,ft,Good-CoM
"PROT resistance may aggravate gradually in those Japanese subjects together with metabolic changes, such as hyperglycemia and PHENO, on the presence of the TNF 308 G/A polymorphism.",Insulin,P01308,dyslipidemia,HP:0003119,ft,Bad-CoM
"To the best of our knowledge, there are not previous studies which investigated a large and homogeneous cohort of PHENO patients about the role of PROT expression in primary cancer cells in predicting bone metastatization.",RANK,Q9Y6Q6,breast cancer,HP:0003002,ft,Bad-CoM
"An important insight into understanding the PHENO suppressor functions of menin occurred when it was found that menin interacts with a SET1-like histone methyltransferase complex containing KMT2A (MLL) and KMT2D (MLL4 originally known as PROT) [12], [13].",MLL2,O14686,tumor,HP:0002664,ft,Good-CoM
"Second, PHENO development is often associated with inflammation [10], [11], and tumors may secrete tumor derived factors (PROT) that directly impede immune reactions.",TDF,Q05066,tumor,HP:0002664,ft,Bad-CoM
"Furthermore, vitreous levels of PROT are significantly reduced in diabetic macular PHENO [35], [36].",PEDF,P36955,edema,HP:0000969,ft,Good-CoM
"Figure 1 shows that compared to normal rabbit or mouse serum, pretreatment with microinjection bilaterally into RVLM of an antiserum (1 20) against SUMO-1 or Ubc9, the only known conjugating enzyme for the sumoylation pathway [37], [38] 30 min before local application of Mev (10 nmol), significantly and selectively enhanced the progressive PHENO and reduced the increase in power density of LF component of PROT signals during Phase I Mev intoxication, without affecting HR.",SAP,O60880,hypotension,HP:0002615,ft,Good-CoM
"Several of these KEGG terms were related to obesity, adipocyte differentiation and metabolic dysregulation; including MAPK signaling pathway, PROT signaling pathway, PHENO and Adipocytokine signalling pathway, suggesting relevant functionality.",Insulin,P01308,Type II diabetes mellitus,HP:0005978,ft,Good-CoM
"Thus, we analysed the proteins of the HER-family (EGFR, p-EGFR, HER2, p-HER2, HER3, p-HER3, PROT) together with other proteins that are known to play important roles in general PHENO progression (Akt, p-Akt, Erk, pErk), especially in breast cancer (uPA, PAI-1).",HER4,Q15303,tumour,HP:0002664,ft,Bad-CoM
"On the other hand, the role of TKT in tumor-cell metabolism has been underlined by reports of a significant decrease in PHENO-cell proliferation following treatment with specific PROT inhibitors, both in vitro and in vivo [21] [30].",TKT,Q16832,tumor,HP:0002664,ft,Good-CoM
"In both PHENO models, we could show that vaccination against PROT reduced angiogenesis and tumor growth significantly, highlighting the potential of this novel vaccination protocol for cancer immunotherapy.",VEGFR2,P35968,tumor,HP:0002664,ft,Good-CoM
"PROT shows enhanced expression in certain PHENO endothelia, and is thought to be a player in tumor vasculature formation.",TEM8,Q9H6X2,tumor,HP:0002664,ft,Good-CoM
"Corollary to this postulate, we found that TAK1 deletion is prevalent in a subset of AML patients supporting the importance of PROT in both mouse and human PHENO.",TAK1,O43318,leukemia,HP:0001909,ft,Good-CoM
"Importantly, our results also show that PROT can be induced by PyLT in a p53-independent manner, which, in a PHENO context, could cause a reduction in p53 activity and potentially contribute to checkpoint bypass and genomic instability [92].",Necdin,Q99608,cancer,HP:0002664,ft,Good-CoM
PROT resistance is a key feature of type 2 diabetes and PHENO where it is often associated with accumulation of intramyocellular lipids and decreased oxidative capacities in skeletal muscle.,Insulin,P01308,obesity,HP:0001513,ft,Good-CoM
"Indeed it has previously been reported that among HCV genotype 3 infected patients, PHENO is more prevalent and pronounced than in other HCV genotypes [22], [25] due to impaired lipid export from infected hepatocytes [26], [27] possibly mediated by inhibition of microsomal triglyceride transfer protein (PROT) [28], [29] or due to increased availability of free fatty acids by reduced oxidation or by increased de novo synthesis [30], [31], [32], [33] of the genotype 3 core protein.",MTP,P55157,steatosis,HP:0001397,ft,Good-CoM
"Finally, humans harboring mutations in the PROT [12], [13] and TrkA genes [14] suffer congenitally from a complete loss of PHENO sensations, leading to severe self-mutilation.",NGFB,P01138,pain,HP:0012531,ft,Good-CoM
"Average PHENO cell versus stromal cell expression intensities ofPROT1, HK2, ALDOB, ENO3, PKM2, LDHA and IDH3A in pancreatic tumor, and liver, lung, lymph node and diaphragm metastatic lesions are tabularized and indicated with gradations of red color.",GLUT,P11166,tumor,HP:0002664,ft,Bad-CoM
"Thus, Notch-1 activation plays an important role in the growth of PHENO cells, and in cell proliferation stimulated by activation of EGFR or PROT.",PDGFR,P09619,pancreatic cancer,HP:0002894,ft,Good-CoM
"Genetic, biochemical, and transgenic mice studies of mutations that cause familial forms of AD (FAD) have identified the A  peptide as central to AD pathogenesis, with PROT (ApoE), Tau, and microtubules being required for A  to oligomerize/polymerize and induce synaptic loss, neurodegeneration, and PHENO [4] [7].",Apolipoprotein E,P02649,dementia,HP:0000726,ft,Good-CoM
"In addition, we further demonstrated that antagomir-21 inhibits angiogenesis by suppressing the HIF-1 /VEGF/PROT signaling pathway in breast PHENO.",VEGFR2,P35968,tumor,HP:0002664,ft,Good-CoM
"Some of these cytokines namely IL-6, IL-8 (the human equivalent of murine KC) and MCP-1 have been previously shown to be up-regulated by PAR1 activation or down-regulated by PROT inhibition in non-infected human respiratory epithelial cells in models of PHENO and idiopathic pulmonary fibrosis [61 64].",PAR1,Q9HAB3,asthma,HP:0002099,ft,Good-CoM
"This notion is support by breast PHENO patients who experienced tumor progression after treatment with trastuzumab (Herceptin, Genentech), a monoclonal antibody targeted against HER2, have demonstrated responses to the dual EGFR and PROT tyrosine kinase inhibitor lapatinib (Tykerb, GSK) [20].",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"Moreover, BRG1 expression was found increased in primary PHENO and metastatic melanoma when compared with dysplastic nevi and reduction of PROT expression by siRNA in melanoma cell lines resulted in a significantly decreased cell proliferative ability [28], concordant with our previous results [26] and findings presented here.",BRG1,P51532,melanoma,HP:0002861,ft,Good-CoM
"Collectively, our results suggest that wheel running activity is a better indication of PHENO than are ANP, BNP, and  -MHC levels in this model, whereas PROT, BNP, and  -MHC levels seem to be more closely related to cardiac enlargement/hypertrophy.",ANP,P01160,CHF,HP:0001635,ft,Good-CoM
"Graphical representation shows the percent of control protein expression determined by pixel intensity of ER , PR, PROT, and ER  in PyVT male tumors treated with DMSO (control), tamoxifen (40 mg/kg), paclitaxel (10 mg/kg) or cisplatin (3.5 mg/kg) via 7 IPs during early PHENO development.",HER2,P04626,tumor,HP:0002664,ft,Good-CoM
"Synaptophysin is a synaptic protein marker and was therefore examined as an additional marker of PHENO and PROT expression was examined to determine if C100 mediated endogenous PS1 expression, hence altering production of A .",PS1,P49768,neurodegeneration,HP:0002180,ft,Bad-CoM
The expression of vimentin is associated with enhanced motility of PHENO cells and hence overexpression of vimentin by enhanced expression of PROT shows its role in maintenance of cell adhesion and metastasis.,SMC1,Q14683,tumor,HP:0002664,ft,Good-CoM
"Nevertheless, tumors are not homogeneous and, in addition to tumor cells, contain immune cells, myofibroblasts and other types of stromal cells that could have increased PROT levels and thereby contribute to the overall stiffness of the PHENO.",MLCK,Q15746,tumor,HP:0002664,ft,Good-CoM
Positive controls included PHENO tissue with high PROT expression.,HER2,P04626,breast cancer,HP:0003002,ft,Good-CoM
"However, the genetic variants of PROT and DROSHA were not associated with the development of PHENO [26].",DICER,Q9UPY3,renal cell carcinoma,HP:0005584,ft,Good-CoM
"Furthermore, when combined with selected molecular markers, including the immunohistochemical detection of hormone receptors, HER2 and the proliferation marker Ki67 and copy number quantification of the PROT locus by FISH, it provides adequate information for the therapeutic management of the tumors, as well as reasonable prognostic value, probably not inferior to molecular classifications for the most common types of breast PHENO [8-11].",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"Statistically significant changes in PROT signaling pathway activity between the xenograft and 2D cultures were also observed in MCF7 HER2-negative, ER-positive breast PHENO cell line and in the MDA-MB-231 and Hs578T triple negative breast cancer cell lines (GEO Series accession number GSE47583 for MCF7 and GSE36953 for MDA-MB-231 and Hs578T cell lines).",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"Therefore, we speculated that the high levels of PROT in cervical PHENO cells might induce cell migration and invasion by limiting the expression of E-cadherin.",TROP2,P09758,cancer,HP:0002664,ft,Good-CoM
"In the present study, we demonstrated that ATP and BzATP treatment both led to a significant up-regulation of Snail as well as a dramatic down-regulation of E-cadherin and PROT in prostate PHENO cells in vitro, and P2X7 knockdown remarkably inhibited expression of Snail and promoted expressions of E-cadherin and Claudin-1 in vitro and in vivo.",Claudin-1,O95832,cancer,HP:0002664,ft,Good-CoM
"Specially, PROT expression is associated with tumor cell differentiation and patient outcome in PHENO [15] and tumor stages in prostate cancer [17].",E2A,P15923,breast cancer,HP:0003002,ft,Good-CoM
"However, fewstudies reported the activity and mechanisms of FTY720 in M2 subtype PHENO (AML-M2), which is associated with t(8;21) chromosomal translocation and the resultant PROT-ETO fusion gene.",AML1,Q01196,acute myeloid leukemia,HP:0004808,ft,Good-CoM
TRAIL receptors including DR4 and PROT are very attractive targets for PHENO therapy [37].,DR5,O14763,cancer,HP:0002664,ft,Good-CoM
"Specifically, significantly detected pathway GO terms include cytokine signaling (FASL, BMP7, CXCL4, CXCL6, CXCL14, EDAR, IL10RA, IL10, TNFRSF1B, TNFRSF11B, TNFRSF19), pathways in PHENO (PROT, GLI3, AXIN2, FGF3, FGF9, FGF19, LEF1, WNT6, WNT11), or Hedgehog signaling pathway (GLI3, BMP7, WNT6, WNT11) (Table 2).",FASL,P48023,cancer,HP:0002664,ft,Good-CoM
"In recent years, Imatinib has been a marketed effective drug for chronic myelogenous leukemia (CML) and PHENO (GIST) [3], and the two listed disorders are caused by BCR-PROT and c-kit oncogenes [4], respectively.",ABL,P00519,gastrointestinal stromal tumors,HP:0100723,ft,Good-CoM
"In addition, inhibiting FASN negatively affects the interaction between EGFR and PROT, which is a mechanism of trastuzumab resistance in breast PHENO[16] [18].",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"However, it remains unclear whether PROT is involved in the pathogenesis of PHENO.",TACE,P78536,psoriasis,HP:0003765,ft,Good-CoM
"On the other hand, inhibition of PROT in PHENO cells may be contraindicated since lactate import is thought to induce expression of a less aggressive gene expression profile [20].",MCT1,P53985,cancer,HP:0002664,ft,Bad-CoM
Rexer B et al found that simultaneous blockade of PROT and EGFR could be an effective treatment strategy against HER2 gene-amplified breast PHENO cells harboring T798M mutant alleles [18].,HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"PROT (prostate specific antigen) screening has increased PCa diagnosis and decreased PCa mortality overall, but low levels of PSA are not predictive of PHENO aggressiveness and there is controversy over using PSA to detect indolent PCa [2, 3].",PSA,Q9Y617,tumor,HP:0002664,ft,Good-CoM
"Implications of deregulated PROT activity have also been reported in many common human diseases including lung or liver diseases, neuronal disorders and PHENO [6].",ASM,P17405,sepsis,HP:0100806,ft,Good-CoM
"However, our data indicates that FXR expression is down-regulated in cholestasis at both the mRNA and protein level, which may explain why PROT is down-regulated in PHENO while FXR activity is likely up-regulated.",MRP2,Q92887,cholestasis,HP:0001396,ft,Good-CoM
"Specifically, reduced VEGF and VEGF receptor 2 (PROT) and endothelial cell apoptosis have been linked to the tissue destruction associated with pulmonary PHENO [10 13].",VEGFR2,P35968,emphysema,HP:0002097,ft,Good-CoM
"Using bioinformatics tools, we predict that PROT expression is linked to poor recurrence free survival of patients with breast cancer, especially in the basal-like breast PHENO.",LSD1,O60341,cancer,HP:0002664,ft,Good-CoM
"Another study showed that PROT interacts with FASN and promotes FASN phosphorylation, which increases its activity and leads to PHENO cell proliferation, and eventually, metastasis [24].",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"Thus, DIG-MSK was a strong inhibitor of VEGF pathway; but, contrasting with other anti-angiogenic drugs, DIG-MSK showed a dual effect inhibiting both VEGFA expression in PHENO cells and VEGFR1 and PROT expression in ECs.",VEGFR2,P35968,cancer,HP:0002664,ft,Good-CoM
An impaired insulin signaling secondary to PHENO promotes a maladaptive UPR with an impaired spliced XBP1 nuclear translocation and is characterized by ATF6 and PROT signaling in diabetic nephropathy [38].,CHOP,P35638,insulin resistance,HP:0000855,ft,Good-CoM
"Most cancer cells forming glandular structures in CTOS C45 tumor were positive for HER3, indicating that the endogenous levels of PROT were high in the PHENO.",HER3,P21860,tumor,HP:0002664,ft,Good-CoM
"Among them, ERBB2 (PROT) is frequently amplified and over-expressed in gastric cancers [39 41], and amplification of HER2 was strongly associated with poor survival, particularly in the intestinal type of PHENO [42].",HER2,P04626,gastric cancer,HP:0012126,ft,Good-CoM
"We therefore investigated the role of MIF in the inflammation and pathophysiology of COPD by measuring MIF in patients with COPD and by studying the effect of a PROT inhibitor, (S,R)3-(4-hydroxyphenyl)-4,5-dihydro-5-isoxazole acetic acid methyl ester (ISO-1), in our chronic ozone-exposed mouse model of PHENO.",MIF,P03971,COPD,HP:0006510,ft,Bad-CoM
"In this regard, inhibiting anterograde lysosome trafficking by overexpression of PROT results in reduced levels of secreted cathepsin B and PHENO cell invasion [4].",RILP,Q96MT3,tumor,HP:0002664,ft,Good-CoM
"Still, our findings support investigations to further elucidate a possible pathophysiological involvement of the OPG/PROT/RANK system in PHENO development.",RANKL,O14788,heart failure,HP:0001635,ft,Bad-CoM
Here we show that an PROT inhibitor ipragliflozin improves hepatic PHENO in high-fat diet-induced and leptin-deficient (ob/ob) obese mice irrespective of body weight reduction.,SGLT2,P31639,steatosis,HP:0001397,ft,Good-CoM
"Activation of PROT/RANK/OPG system has been implicated in rheumatoid arthritis (RA), Crohn s disease (CD) and ulcerative colitis (UC) [16, 50]; moreover RANKL blockade improves hepatic PHENO and prevents development of diabetes [51].",RANKL,O14788,insulin resistance,HP:0000855,ft,Good-CoM
"More specifically, the effect of PROT on the infiltration of myeloid cells, liver damage and PHENO development was investigated.",MIF,P03971,anemia,HP:0001903,ft,Bad-CoM
"Moreover, a number of candidate genes have been investigated in PHENO susceptibility, including protein C, macrophage inhibitory factor (PROT) and certain miRNAs [18].",MIF,P03971,sepsis,HP:0100806,ft,Bad-CoM
"Finally, PROT contributed to the PHENO and to the impairment of the terminal differentiation of RBCs from the orthochromatic erythroblast to the enucleated reticulocyte/erythrocyte stage.",MIF,P03971,reticulocytosis,HP:0001923,ft,Good-CoM
"Although extremely rare, lesions with the morphology and phenotypic of polyphenotypic small round cell PHENO, rhabdomyosarcoma, or desmoplastic small round cell tumor have been reported to contain either EWS-FLI1 [56] or PROT-ERG fusion genes [76].",EWS,Q01844,tumor,HP:0002664,ft,Good-CoM
"Immunohistochemically, tumor cells showed diffuse strong reactivity for vimentin and patchy strong staining for CD10 in about 50% of cells (Figure 4); there was no staining of PHENO cells for AE1/AE3, desmin, S-100, LCA, PROT, c-kit, and CD31.",CD20,P11836,tumor,HP:0002664,ft,Good-CoM
"PHENO cells showed diffuse strong immunoreactivity for vimentin and patchy strong staining for CD10; no reactivities were found for PROT/AE3, desmin, S-100, LCA, CD20, c-kit, and CD31.",AE1,P02730,Tumor,HP:0002664,ft,Good-CoM
